ID,GEN_BANK_ID,M27_Root,M793_Root,M9_Root
MDP0000000999,103437413,12.06538013,9.03876618,13.93268921
MDP0000001024,#N/A,1.841158636,0.842416175,5.778650225
MDP0000001061,103427725,0,0,0
MDP0000001088,#N/A,17.20189949,24.40570168,28.69625169
MDP0000002824,#N/A,8.052089812,18.38866376,6.079329386
MDP0000003459,103444293,15.60472197,16.28051849,17.15536786
MDP0000003514,103422894,18.14487646,22.53791313,20.26578035
MDP0000003570,103400553,12.24827518,6.518269839,6.662353385
MDP0000003574,103401039,11.82625162,6.285225217,6.667263663
MDP0000003818,#N/A,6.16742147,3.65588176,4.153533745
MDP0000004417,103415114,11.31021403,13.52776139,17.88658026
MDP0000004558,#N/A,0,0.227034147,0
MDP0000004560,#N/A,0,0.227034147,0
MDP0000004562,#N/A,0,0.227034147,0
MDP0000004564,#N/A,0,0.227034147,0
MDP0000004565,#N/A,0,0.227034147,0
MDP0000004643,103449489,6.632392441,4.347283473,6.20860932
MDP0000004679,#N/A,0.134287962,0.16384806,0.105368862
MDP0000004749,103411697,2.361864029,2.312468198,2.021709073
MDP0000004754,103453057,13.31589378,28.7789831,18.63828948
MDP0000005389,103440424,9.756587051,9.103781892,9.815476293
MDP0000005879,#N/A,7.082205103,5.837297125,4.726521132
MDP0000005892,103403711,21.12785352,12.62577783,14.87508915
MDP0000006123,103447077,107.3048804,175.6984332,164.272469
MDP0000006177,103450863,168.4817516,143.9163634,193.8836492
MDP0000006479,103436940,1.715659876,1.250669401,1.899497089
MDP0000006884,#N/A,15.3119927,3.799382044,7.780565826
MDP0000006899,#N/A,0.162363778,0.054028379,0.052117573
MDP0000006982,103446715,3.56080904,5.204008648,1.765429354
MDP0000007676,103408837,8.770419486,18.31331164,48.01156967
MDP0000007682,103434747,9.667394206,20.20118789,51.38985749
MDP0000007813,103421664,7.023063798,5.360983804,6.812600954
MDP0000007997,#N/A,5.450756535,10.85122711,5.718455952
MDP0000008280,103400284,2.028299878,1.457815034,1.77835926
MDP0000008803,#N/A,16.10046702,12.35208862,19.94348045
MDP0000009080,103426233,21.22409967,14.65480916,18.33526222
MDP0000009224,103441410,1.416275874,1.058420323,1.416880584
MDP0000009497,103402844,10.08378342,9.151657573,12.40558985
MDP0000009803,#N/A,0,0.304874425,0.392122694
MDP0000010086,#N/A,19.23783913,22.69060534,36.44681264
MDP0000010249,103401872,38.44782474,50.8039355,62.33116988
MDP0000010587,#N/A,4.317748594,3.573645977,8.027417412
MDP0000010597,103408272,0.09840229,0.19135051,0.246110762
MDP0000010610,103453778,10.42350257,6.005468483,11.05475168
MDP0000010619,103420801,13.96786302,16.74771409,20.10939377
MDP0000010661,103450646,20.25158265,25.56499088,26.40886931
MDP0000010811,103408734,8.724470564,8.768989154,9.902088229
MDP0000010841,103429199,11.83531275,10.28951186,13.97727667
MDP0000010844,103448520,12.45510509,10.75685689,14.31066714
MDP0000010907,103456349,124.9052247,134.1117191,146.2552294
MDP0000011078,#N/A,2.344672629,1.84727676,3.113791499
MDP0000011202,103439534,0,0,0
MDP0000011552,103418770,6.94087581,10.8611514,11.35521968
MDP0000011994,#N/A,0.271178404,0.279172802,0.438858247
MDP0000012534,103438385,29.83904429,47.89416762,74.18342227
MDP0000012541,103438383,38.81125998,63.87668244,91.66491045
MDP0000012693,#N/A,10.59965532,11.60308117,12.57442098
MDP0000013331,103422670,0.39195534,0.022417237,0.230660408
MDP0000013380,103432442,0.346176181,0.333456403,0.085776839
MDP0000013737,#N/A,11.7200855,6.025558675,7.044570195
MDP0000014145,#N/A,41.96968232,40.20460119,54.82007436
MDP0000014365,103450875,20.312996,18.07668682,21.40112556
MDP0000014856,103401829,14.67313158,9.483516582,10.77246832
MDP0000015338,103446746,10.77659432,24.24947268,17.63526965
MDP0000015509,103441619,11.04230243,9.269414347,8.802956436
MDP0000015820,#N/A,5.285595714,3.839838392,4.468965392
MDP0000015854,103436120,18.42150506,20.12325184,18.95061645
MDP0000016671,103436775,30.6782021,17.81738671,29.72051567
MDP0000016819,103417447,15.75666668,53.01534707,24.7992786
MDP0000017063,103403202,7.404400389,11.75379804,10.12277861
MDP0000017200,#N/A,18.89832945,15.57663012,29.26271942
MDP0000018128,103436336,0.242930653,0.022230427,0.085776839
MDP0000018228,#N/A,0.889296337,0.514846306,0.795688657
MDP0000018462,#N/A,3.428324726,4.995601539,4.806073092
MDP0000020140,103403769,32.1375646,23.38329319,29.54792469
MDP0000020317,103412623,4.307839116,4.417284817,4.042276961
MDP0000020509,103433569,9.47003354,6.021715624,7.15308613
MDP0000021204,103444297,52.45042293,30.53323279,48.84625282
MDP0000021376,103408284,87.35346142,279.4806165,243.4029892
MDP0000021756,#N/A,7.086100289,37.83960656,9.184720022
MDP0000021772,103408754,16.3646922,18.47651613,33.18004101
MDP0000021909,103409565,2.947558594,3.260462605,2.973597095
MDP0000021998,#N/A,6.309541353,7.138098704,10.1835517
MDP0000022147,#N/A,7.287919601,9.627795774,12.07114066
MDP0000022187,#N/A,8.365264238,13.40453316,9.973555474
MDP0000022745,103406713,13.12775713,7.324737254,16.16675344
MDP0000022754,103407426,4.052561195,6.96213237,7.627107808
MDP0000022758,103411490,4.014329485,6.8571756,7.559611278
MDP0000022760,103438695,3.632012391,8.204120807,7.447117063
MDP0000022785,103435918,1.094087683,1.040713316,1.152162977
MDP0000022950,103434895,31.07665859,18.78127844,42.36275635
MDP0000023020,#N/A,9.514783924,11.16461437,8.291761131
MDP0000023025,103412163,6.698106573,5.906055729,6.351475727
MDP0000023070,#N/A,10.51227191,20.77534437,15.80373281
MDP0000023346,#N/A,0,0,0
MDP0000023665,103427329,4.636723652,3.822933247,5.241167503
MDP0000023799,#N/A,0,0,0.034657309
MDP0000023883,103440784,24.52442786,16.89512441,20.96767182
MDP0000023975,103420356,7.511743349,11.6697252,13.10747207
MDP0000024218,103433853,5.31052262,4.512508814,5.820423601
MDP0000024364,#N/A,24.94359094,34.43390803,21.1893916
MDP0000024484,#N/A,141.5407024,190.8789587,187.6140229
MDP0000024850,#N/A,49.79294747,42.20912659,57.55349216
MDP0000024936,103442263,5.916986105,5.28999202,6.745592626
MDP0000025145,103450874,2.133049639,2.293529404,2.866201703
MDP0000025413,103450949,23.83489561,35.55025359,22.91530484
MDP0000025650,103453365,2.95429761,2.130540238,4.881795954
MDP0000026235,103444294,22.68923786,15.65580189,19.94036195
MDP0000026449,103424750,8.92608914,8.309851594,7.509901445
MDP0000026514,103450943,10.72486247,6.42264497,7.659228648
MDP0000026529,#N/A,0,0,0
MDP0000026551,103405379,10.575075,7.391616928,10.20386984
MDP0000026750,103451631,16.6016338,18.84795706,20.6030568
MDP0000026761,103409402,2.36676993,2.229205576,2.826389318
MDP0000027451,#N/A,0,0.177843415,0
MDP0000027925,103403001,63.68118882,42.41167286,47.58438153
MDP0000028502,#N/A,0.086875863,0,0.113611708
MDP0000028520,#N/A,0.057821511,0.008818682,0.090739136
MDP0000028677,103447198,2.1885131,2.315615137,1.569640695
MDP0000029168,103436897,71.1351873,140.6904499,117.5954269
MDP0000029382,#N/A,1.882027093,3.76963807,3.438818658
MDP0000029783,#N/A,27.33506855,20.53249025,27.95422047
MDP0000029865,103408335,16.05550773,8.457666943,13.11345922
MDP0000029964,#N/A,2.3636496,1.441973634,5.378439652
MDP0000030063,103414810,53.88255283,81.43664939,75.18198573
MDP0000030527,103440292,8.607995604,4.498515622,6.376617864
MDP0000031172,#N/A,6.430027351,7.225523881,7.567967992
MDP0000031223,#N/A,32.93628227,88.9217074,40.20977448
MDP0000031416,103442473,7.720749497,5.600782983,4.868489626
MDP0000031895,103416185,4.571374307,7.740103336,4.042480811
MDP0000032171,#N/A,9.96164716,27.98578889,23.80701969
MDP0000033287,103400341,4.372751761,4.44608537,5.051302758
MDP0000033325,#N/A,31.49524471,35.35945541,43.0902475
MDP0000033458,103423824,4.655879572,7.906994989,8.59002592
MDP0000033669,#N/A,0.103906973,0.169039285,0.135884102
MDP0000033670,103402475,0.103906973,0.169039285,0.135884102
MDP0000033681,#N/A,1.708891493,2.299699329,0.828190172
MDP0000033699,103404018,4.999549935,4.520752453,3.719178986
MDP0000034109,103441815,15.50554138,21.25469136,18.80599244
MDP0000034112,103402201,14.37098957,19.72619931,17.50774839
MDP0000034165,103443366,0.275810886,0.203316387,0.432829255
MDP0000034168,#N/A,6.246788229,13.95753229,17.15536786
MDP0000034413,103439101,2.909952871,2.548346606,2.946181242
MDP0000034798,103442011,9.751623395,11.09554048,10.84988457
MDP0000035240,103400774,4.431055117,5.010103057,5.934123434
MDP0000035607,103450223,1.200363228,0.827399844,1.577926883
MDP0000035633,103442612,7.987559883,6.455715957,7.376808178
MDP0000035877,#N/A,9.660370024,11.35170733,15.27557755
MDP0000036030,103436969,41.95100484,29.49370628,43.92766887
MDP0000036086,103413820,19.91099569,9.873963838,9.889012047
MDP0000036103,103412200,36.99425383,40.98267718,52.77173334
MDP0000036388,103400334,4.43829622,3.758703435,4.195167043
MDP0000036424,#N/A,6.821005532,7.475368048,7.454700239
MDP0000036764,#N/A,0.306859773,0,0
MDP0000037080,103448158,15.57532532,18.12097366,20.19431873
MDP0000037177,103442182,1.996379533,3.259309275,3.818237515
MDP0000037251,103446799,0.193806172,0.177350774,0.513235382
MDP0000037573,#N/A,23.54998334,33.20179634,32.24200018
MDP0000037777,103410484,0,0,0
MDP0000037814,103436490,0.187269883,0.262766502,0.014694105
MDP0000037858,103442444,8.48797986,5.288170797,7.444096017
MDP0000038094,#N/A,0.499743058,0.304874425,0.196061347
MDP0000038096,#N/A,0.499743058,0.304874425,0.196061347
MDP0000038100,#N/A,0.132507629,0,0
MDP0000038661,#N/A,0.197943495,0.617511857,0.105897332
MDP0000039357,#N/A,0.047401103,0,0.223159257
MDP0000039359,103433752,0.047401103,0,0.223159257
MDP0000039464,103449901,14.46713803,11.88235154,14.6314934
MDP0000039653,103437941,9.941016797,5.346080833,6.307630202
MDP0000039909,#N/A,6.559127641,6.710810105,5.253831406
MDP0000040062,#N/A,5.669867726,9.505648942,4.57056773
MDP0000040083,103449290,6.420816758,5.909723693,5.603669428
MDP0000040235,#N/A,0.342960922,0.23538099,0.7063975
MDP0000040238,103407092,0,0,0
MDP0000040243,#N/A,0,0,0
MDP0000040244,#N/A,0,0,0
MDP0000040248,#N/A,0,0,0
MDP0000040251,#N/A,0,0,0
MDP0000040255,#N/A,10.3467929,2.254353145,9.375046096
MDP0000040259,#N/A,11.99703688,7.284739876,9.633398873
MDP0000040559,#N/A,55.92719135,52.19982105,44.46099503
MDP0000041327,103434125,15.41850491,16.21431758,21.75247034
MDP0000041328,#N/A,2.148018409,4.492886269,5.056318947
MDP0000041421,103449971,3.150262021,9.308094855,8.799043514
MDP0000042587,103423477,0.02711784,0.099261441,0.031916963
MDP0000043189,103404324,5.280775334,2.413915759,2.793076172
MDP0000043338,103432794,13.58916701,10.69796541,14.76241398
MDP0000043339,#N/A,2.2424368,4.788091937,6.510242161
MDP0000044099,103433791,16.50281455,15.36160174,23.15974661
MDP0000044157,103448651,13.7517948,12.01659304,16.56092654
MDP0000044356,103436939,0.380446048,0.400365273,0.548523997
MDP0000044392,#N/A,72.66439417,128.5527084,102.2098759
MDP0000044410,#N/A,69.68372357,87.1090726,103.592029
MDP0000044499,103435669,20.30378262,12.09261732,14.88688946
MDP0000044576,#N/A,7.055196118,6.456164302,5.93950551
MDP0000044656,#N/A,5.497173642,10.89926071,11.56761947
MDP0000045232,103441664,22.73988067,14.39524999,21.04885027
MDP0000045577,103439766,8.682130307,16.31036753,10.83398774
MDP0000045645,#N/A,6.438029279,3.675072378,6.074347773
MDP0000045740,103411944,25.26478795,35.23222245,22.66775332
MDP0000046158,103446796,20.35442634,19.06818152,34.20922466
MDP0000046192,103442252,19.64976107,21.06122306,23.08722391
MDP0000046392,103434526,0,0,0
MDP0000046497,103455837,12.4221382,11.55462186,15.53012248
MDP0000046658,103438698,0.008030765,0.05144231,0.02835598
MDP0000046978,103454489,6.55545306,4.94075907,7.680991592
MDP0000047001,103448750,7.564206439,4.263238992,5.225895044
MDP0000047048,#N/A,735.0290634,3627.32324,1001.394728
MDP0000047584,103436227,0.373317162,1.205718066,0.478153379
MDP0000047586,103434700,0.452841606,1.26389689,0.453034957
MDP0000047589,103447738,0.191343063,0.793085498,0.556390309
MDP0000047696,103455941,15.97779015,21.51769561,18.33398092
MDP0000049035,#N/A,19.85871624,15.07268155,15.14324675
MDP0000049091,103455515,3.854965276,2.251344255,2.557453196
MDP0000049282,103455511,5.773175527,7.793726119,10.24837008
MDP0000049429,#N/A,7.284093921,7.281777614,8.1048982
MDP0000049467,103445149,1.1444733,1.205383145,1.372429429
MDP0000049514,103426244,4.750643888,3.800072966,9.325482014
MDP0000050048,#N/A,6.478150756,9.484982123,7.525156528
MDP0000050082,103446177,4.836917733,4.595507276,2.781951544
MDP0000050524,103450640,10.73826004,11.88100186,12.51573703
MDP0000050893,103443781,9.038257293,6.655921861,8.677170503
MDP0000051445,#N/A,0.131978304,0.063938378,0.255845699
MDP0000051485,#N/A,0.116451445,0.063938378,0.210158967
MDP0000051653,103405870,9.80328275,5.433739759,8.474287492
MDP0000051712,#N/A,1.431555636,1.671251733,0.54121101
MDP0000051714,#N/A,1.513978536,1.782403867,0.561634067
MDP0000051852,#N/A,0.905683213,0.621588634,1.288040564
MDP0000051962,103443947,3.4660657,1.57538458,3.106877643
MDP0000051968,103454768,40.87752628,27.79345562,32.74164719
MDP0000052249,103433825,72.12341176,129.628089,170.664141
MDP0000052269,103438274,83.8565481,56.14213702,72.93779669
MDP0000052541,103404959,2.146389065,1.567540187,2.392642455
MDP0000052605,103402524,32.18831157,34.85413353,44.2363414
MDP0000052608,103425402,32.18831157,34.85413353,44.21591834
MDP0000052687,103443875,5.55571842,5.586602922,5.892495916
MDP0000052862,#N/A,161.4508069,113.3558461,122.1973656
MDP0000053005,103420966,65.27829827,64.84192725,34.68962727
MDP0000053083,103445569,0,0.498626397,0
